CIDR	Start IP	End IP	Subnet Mask	Addresses	Hosts	Wildcard mask
20.147.255.255/32	20.147.255.255	20.147.255.255	255.255.255.255	1	1	0.0.0.0
216.32.180.0/23	216.32.180.0	216.32.181.255	255.255.254.0	512	510	0.0.1.255
216.32.182.0/24	216.32.182.0	216.32.182.255	255.255.255.0	256	254	0.0.0.255
216.32.183.0/25	216.32.183.0	216.32.183.127	255.255.255.128	128	126	0.0.0.127
216.32.183.128/26	216.32.183.128	216.32.183.191	255.255.255.192	64	62	0.0.0.63
216.32.183.192/27	216.32.183.192	216.32.183.223	255.255.255.224	32	30	0.0.0.31
216.32.183.224/28	216.32.183.224	216.32.183.239	255.255.255.240	16	14	0.0.0.15
216.32.183.240/29	216.32.183.240	216.32.183.247	255.255.255.248	8	6	0.0.0.7
216.32.183.248/30	216.32.183.248	216.32.183.251	255.255.255.252	4	2	0.0.0.3
216.32.183.252/31	216.32.183.252	216.32.183.253	255.255.255.254	2	2	0.0.0.1
216.32.183.254/32	216.32.183.254	216.32.183.254	255.255.255.255	1	1	0.0.0.0
216.32.183.255/32	216.32.183.255	216.32.183.255	255.255.255.255	1	1	0.0.0.0
137.117.0.0/17	137.117.0.0	137.117.127.255	255.255.128.0	32768	32766	0.0.127.255
137.117.128.0/18	137.117.128.0	137.117.191.255	255.255.192.0	16384	16382	0.0.63.255
137.117.192.0/19	137.117.192.0	137.117.223.255	255.255.224.0	8192	8190	0.0.31.255
137.117.224.0/20	137.117.224.0	137.117.239.255	255.255.240.0	4096	4094	0.0.15.255
137.117.240.0/21	137.117.240.0	137.117.247.255	255.255.248.0	2048	2046	0.0.7.255
137.117.248.0/22	137.117.248.0	137.117.251.255	255.255.252.0	1024	1022	0.0.3.255
137.117.252.0/23	137.117.252.0	137.117.253.255	255.255.254.0	512	510	0.0.1.255
137.117.254.0/24	137.117.254.0	137.117.254.255	255.255.255.0	256	254	0.0.0.255
137.117.255.0/25	137.117.255.0	137.117.255.127	255.255.255.128	128	126	0.0.0.127
137.117.255.128/26	137.117.255.128	137.117.255.191	255.255.255.192	64	62	0.0.0.63
137.117.255.192/27	137.117.255.192	137.117.255.223	255.255.255.224	32	30	0.0.0.31
137.117.255.224/28	137.117.255.224	137.117.255.239	255.255.255.240	16	14	0.0.0.15
137.117.255.240/29	137.117.255.240	137.117.255.247	255.255.255.248	8	6	0.0.0.7
137.117.255.248/30	137.117.255.248	137.117.255.251	255.255.255.252	4	2	0.0.0.3
137.117.255.252/31	137.117.255.252	137.117.255.253	255.255.255.254	2	2	0.0.0.1
137.117.255.254/32	137.117.255.254	137.117.255.254	255.255.255.255	1	1	0.0.0.0
137.117.255.255/32	137.117.255.255	137.117.255.255	255.255.255.255	1	1	0.0.0.0
51.10.0.0/15	51.10.0.0	51.11.255.255	255.254.0.0	131072	131070	0.1.255.255
51.12.0.0/16	51.12.0.0	51.12.255.255	255.255.0.0	65536	65534	0.0.255.255
51.13.0.0/17	51.13.0.0	51.13.127.255	255.255.128.0	32768	32766	0.0.127.255
51.13.128.0/18	51.13.128.0	51.13.191.255	255.255.192.0	16384	16382	0.0.63.255
51.13.192.0/19	51.13.192.0	51.13.223.255	255.255.224.0	8192	8190	0.0.31.255
51.13.224.0/20	51.13.224.0	51.13.239.255	255.255.240.0	4096	4094	0.0.15.255
51.13.240.0/21	51.13.240.0	51.13.247.255	255.255.248.0	2048	2046	0.0.7.255
51.13.248.0/22	51.13.248.0	51.13.251.255	255.255.252.0	1024	1022	0.0.3.255
51.13.252.0/23	51.13.252.0	51.13.253.255	255.255.254.0	512	510	0.0.1.255
51.13.254.0/24	51.13.254.0	51.13.254.255	255.255.255.0	256	254	0.0.0.255
51.13.255.0/25	51.13.255.0	51.13.255.127	255.255.255.128	128	126	0.0.0.127
51.13.255.128/26	51.13.255.128	51.13.255.191	255.255.255.192	64	62	0.0.0.63
51.13.255.192/27	51.13.255.192	51.13.255.223	255.255.255.224	32	30	0.0.0.31
51.13.255.224/28	51.13.255.224	51.13.255.239	255.255.255.240	16	14	0.0.0.15
51.13.255.240/29	51.13.255.240	51.13.255.247	255.255.255.248	8	6	0.0.0.7
51.13.255.248/30	51.13.255.248	51.13.255.251	255.255.255.252	4	2	0.0.0.3
51.13.255.252/31	51.13.255.252	51.13.255.253	255.255.255.254	2	2	0.0.0.1
51.13.255.254/32	51.13.255.254	51.13.255.254	255.255.255.255	1	1	0.0.0.0
51.13.255.255/32	51.13.255.255	51.13.255.255	255.255.255.255	1	1	0.0.0.0
4.208.0.0/13	4.208.0.0	4.215.255.255	255.248.0.0	524288	524286	0.7.255.255
4.216.0.0/14	4.216.0.0	4.219.255.255	255.252.0.0	262144	262142	0.3.255.255
4.220.0.0/15	4.220.0.0	4.221.255.255	255.254.0.0	131072	131070	0.1.255.255
4.222.0.0/16	4.222.0.0	4.222.255.255	255.255.0.0	65536	65534	0.0.255.255
4.223.0.0/17	4.223.0.0	4.223.127.255	255.255.128.0	32768	32766	0.0.127.255
4.223.128.0/18	4.223.128.0	4.223.191.255	255.255.192.0	16384	16382	0.0.63.255
4.223.192.0/19	4.223.192.0	4.223.223.255	255.255.224.0	8192	8190	0.0.31.255
4.223.224.0/20	4.223.224.0	4.223.239.255	255.255.240.0	4096	4094	0.0.15.255
4.223.240.0/21	4.223.240.0	4.223.247.255	255.255.248.0	2048	2046	0.0.7.255
4.223.248.0/22	4.223.248.0	4.223.251.255	255.255.252.0	1024	1022	0.0.3.255
4.223.252.0/23	4.223.252.0	4.223.253.255	255.255.254.0	512	510	0.0.1.255
4.223.254.0/24	4.223.254.0	4.223.254.255	255.255.255.0	256	254	0.0.0.255
4.223.255.0/25	4.223.255.0	4.223.255.127	255.255.255.128	128	126	0.0.0.127
4.223.255.128/26	4.223.255.128	4.223.255.191	255.255.255.192	64	62	0.0.0.63
4.223.255.192/27	4.223.255.192	4.223.255.223	255.255.255.224	32	30	0.0.0.31
4.223.255.224/28	4.223.255.224	4.223.255.239	255.255.255.240	16	14	0.0.0.15
4.223.255.240/29	4.223.255.240	4.223.255.247	255.255.255.248	8	6	0.0.0.7
4.223.255.248/30	4.223.255.248	4.223.255.251	255.255.255.252	4	2	0.0.0.3
4.223.255.252/31	4.223.255.252	4.223.255.253	255.255.255.254	2	2	0.0.0.1
4.223.255.254/32	4.223.255.254	4.223.255.254	255.255.255.255	1	1	0.0.0.0
4.223.255.255/32	4.223.255.255	4.223.255.255	255.255.255.255	1	1	0.0.0.0
172.160.0.0/12	172.160.0.0	172.175.255.255	255.240.0.0	1048576	1048574	0.15.255.255
172.176.0.0/13	172.176.0.0	172.183.255.255	255.248.0.0	524288	524286	0.7.255.255
172.184.0.0/14	172.184.0.0	172.187.255.255	255.252.0.0	262144	262142	0.3.255.255
172.188.0.0/15	172.188.0.0	172.189.255.255	255.254.0.0	131072	131070	0.1.255.255
172.190.0.0/16	172.190.0.0	172.190.255.255	255.255.0.0	65536	65534	0.0.255.255
172.191.0.0/17	172.191.0.0	172.191.127.255	255.255.128.0	32768	32766	0.0.127.255
172.191.128.0/18	172.191.128.0	172.191.191.255	255.255.192.0	16384	16382	0.0.63.255
172.191.192.0/19	172.191.192.0	172.191.223.255	255.255.224.0	8192	8190	0.0.31.255
172.191.224.0/20	172.191.224.0	172.191.239.255	255.255.240.0	4096	4094	0.0.15.255
172.191.240.0/21	172.191.240.0	172.191.247.255	255.255.248.0	2048	2046	0.0.7.255
172.191.248.0/22	172.191.248.0	172.191.251.255	255.255.252.0	1024	1022	0.0.3.255
172.191.252.0/23	172.191.252.0	172.191.253.255	255.255.254.0	512	510	0.0.1.255
172.191.254.0/24	172.191.254.0	172.191.254.255	255.255.255.0	256	254	0.0.0.255
172.191.255.0/25	172.191.255.0	172.191.255.127	255.255.255.128	128	126	0.0.0.127
172.191.255.128/26	172.191.255.128	172.191.255.191	255.255.255.192	64	62	0.0.0.63
172.191.255.192/27	172.191.255.192	172.191.255.223	255.255.255.224	32	30	0.0.0.31
172.191.255.224/28	172.191.255.224	172.191.255.239	255.255.255.240	16	14	0.0.0.15
172.191.255.240/29	172.191.255.240	172.191.255.247	255.255.255.248	8	6	0.0.0.7
172.191.255.248/30	172.191.255.248	172.191.255.251	255.255.255.252	4	2	0.0.0.3
172.191.255.252/31	172.191.255.252	172.191.255.253	255.255.255.254	2	2	0.0.0.1
172.191.255.254/32	172.191.255.254	172.191.255.254	255.255.255.255	1	1	0.0.0.0
172.191.255.255/32	172.191.255.255	172.191.255.255	255.255.255.255	1	1	0.0.0.0
20.157.0.0/16	20.157.0.0	20.157.255.255	255.255.0.0	65536	65534	0.0.255.255
20.158.0.0/16	20.158.0.0	20.158.255.255	255.255.0.0	65536	65534	0.0.255.255
20.159.0.0/17	20.159.0.0	20.159.127.255	255.255.128.0	32768	32766	0.0.127.255
20.159.128.0/18	20.159.128.0	20.159.191.255	255.255.192.0	16384	16382	0.0.63.255
20.159.192.0/19	20.159.192.0	20.159.223.255	255.255.224.0	8192	8190	0.0.31.255
20.159.224.0/20	20.159.224.0	20.159.239.255	255.255.240.0	4096	4094	0.0.15.255
20.159.240.0/21	20.159.240.0	20.159.247.255	255.255.248.0	2048	2046	0.0.7.255
20.159.248.0/22	20.159.248.0	20.159.251.255	255.255.252.0	1024	1022	0.0.3.255
20.159.252.0/23	20.159.252.0	20.159.253.255	255.255.254.0	512	510	0.0.1.255
20.159.254.0/24	20.159.254.0	20.159.254.255	255.255.255.0	256	254	0.0.0.255
20.159.255.0/25	20.159.255.0	20.159.255.127	255.255.255.128	128	126	0.0.0.127
20.159.255.128/26	20.159.255.128	20.159.255.191	255.255.255.192	64	62	0.0.0.63
20.159.255.192/27	20.159.255.192	20.159.255.223	255.255.255.224	32	30	0.0.0.31
20.159.255.224/28	20.159.255.224	20.159.255.239	255.255.255.240	16	14	0.0.0.15
20.159.255.240/29	20.159.255.240	20.159.255.247	255.255.255.248	8	6	0.0.0.7
20.159.255.248/30	20.159.255.248	20.159.255.251	255.255.255.252	4	2	0.0.0.3
20.159.255.252/31	20.159.255.252	20.159.255.253	255.255.255.254	2	2	0.0.0.1
20.159.255.254/32	20.159.255.254	20.159.255.254	255.255.255.255	1	1	0.0.0.0
20.159.255.255/32	20.159.255.255	20.159.255.255	255.255.255.255	1	1	0.0.0.0
51.120.0.0/17	51.120.0.0	51.120.127.255	255.255.128.0	32768	32766	0.0.127.255
51.120.128.0/18	51.120.128.0	51.120.191.255	255.255.192.0	16384	16382	0.0.63.255
51.120.192.0/19	51.120.192.0	51.120.223.255	255.255.224.0	8192	8190	0.0.31.255
51.120.224.0/20	51.120.224.0	51.120.239.255	255.255.240.0	4096	4094	0.0.15.255
51.120.240.0/21	51.120.240.0	51.120.247.255	255.255.248.0	2048	2046	0.0.7.255
51.120.248.0/22	51.120.248.0	51.120.251.255	255.255.252.0	1024	1022	0.0.3.255
51.120.252.0/23	51.120.252.0	51.120.253.255	255.255.254.0	512	510	0.0.1.255
51.120.254.0/24	51.120.254.0	51.120.254.255	255.255.255.0	256	254	0.0.0.255
51.120.255.0/25	51.120.255.0	51.120.255.127	255.255.255.128	128	126	0.0.0.127
51.120.255.128/26	51.120.255.128	51.120.255.191	255.255.255.192	64	62	0.0.0.63
51.120.255.192/27	51.120.255.192	51.120.255.223	255.255.255.224	32	30	0.0.0.31
51.120.255.224/28	51.120.255.224	51.120.255.239	255.255.255.240	16	14	0.0.0.15
51.120.255.240/29	51.120.255.240	51.120.255.247	255.255.255.248	8	6	0.0.0.7
51.120.255.248/30	51.120.255.248	51.120.255.251	255.255.255.252	4	2	0.0.0.3
51.120.255.252/31	51.120.255.252	51.120.255.253	255.255.255.254	2	2	0.0.0.1
51.120.255.254/32	51.120.255.254	51.120.255.254	255.255.255.255	1	1	0.0.0.0
51.120.255.255/32	51.120.255.255	51.120.255.255	255.255.255.255	1	1	0.0.0.0
52.96.0.0/12	52.96.0.0	52.111.255.255	255.240.0.0	1048576	1048574	0.15.255.255
52.112.0.0/15	52.112.0.0	52.113.255.255	255.254.0.0	131072	131070	0.1.255.255
52.114.0.0/16	52.114.0.0	52.114.255.255	255.255.0.0	65536	65534	0.0.255.255
52.115.0.0/17	52.115.0.0	52.115.127.255	255.255.128.0	32768	32766	0.0.127.255
52.115.128.0/18	52.115.128.0	52.115.191.255	255.255.192.0	16384	16382	0.0.63.255
52.115.192.0/19	52.115.192.0	52.115.223.255	255.255.224.0	8192	8190	0.0.31.255
52.115.224.0/20	52.115.224.0	52.115.239.255	255.255.240.0	4096	4094	0.0.15.255
52.115.240.0/21	52.115.240.0	52.115.247.255	255.255.248.0	2048	2046	0.0.7.255
52.115.248.0/22	52.115.248.0	52.115.251.255	255.255.252.0	1024	1022	0.0.3.255
52.115.252.0/23	52.115.252.0	52.115.253.255	255.255.254.0	512	510	0.0.1.255
52.115.254.0/24	52.115.254.0	52.115.254.255	255.255.255.0	256	254	0.0.0.255
52.115.255.0/25	52.115.255.0	52.115.255.127	255.255.255.128	128	126	0.0.0.127
52.115.255.128/26	52.115.255.128	52.115.255.191	255.255.255.192	64	62	0.0.0.63
52.115.255.192/27	52.115.255.192	52.115.255.223	255.255.255.224	32	30	0.0.0.31
52.115.255.224/28	52.115.255.224	52.115.255.239	255.255.255.240	16	14	0.0.0.15
52.115.255.240/29	52.115.255.240	52.115.255.247	255.255.255.248	8	6	0.0.0.7
52.115.255.248/30	52.115.255.248	52.115.255.251	255.255.255.252	4	2	0.0.0.3
52.115.255.252/31	52.115.255.252	52.115.255.253	255.255.255.254	2	2	0.0.0.1
52.115.255.254/32	52.115.255.254	52.115.255.254	255.255.255.255	1	1	0.0.0.0
52.115.255.255/32	52.115.255.255	52.115.255.255	255.255.255.255	1	1	0.0.0.0
199.2.137.0/25	199.2.137.0	199.2.137.127	255.255.255.128	128	126	0.0.0.127
199.2.137.128/26	199.2.137.128	199.2.137.191	255.255.255.192	64	62	0.0.0.63
199.2.137.192/27	199.2.137.192	199.2.137.223	255.255.255.224	32	30	0.0.0.31
199.2.137.224/28	199.2.137.224	199.2.137.239	255.255.255.240	16	14	0.0.0.15
199.2.137.240/29	199.2.137.240	199.2.137.247	255.255.255.248	8	6	0.0.0.7
199.2.137.248/30	199.2.137.248	199.2.137.251	255.255.255.252	4	2	0.0.0.3
199.2.137.252/31	199.2.137.252	199.2.137.253	255.255.255.254	2	2	0.0.0.1
199.2.137.254/32	199.2.137.254	199.2.137.254	255.255.255.255	1	1	0.0.0.0
199.2.137.255/32	199.2.137.255	199.2.137.255	255.255.255.255	1	1	0.0.0.0
51.116.0.0/17	51.116.0.0	51.116.127.255	255.255.128.0	32768	32766	0.0.127.255
51.116.128.0/18	51.116.128.0	51.116.191.255	255.255.192.0	16384	16382	0.0.63.255
51.116.192.0/19	51.116.192.0	51.116.223.255	255.255.224.0	8192	8190	0.0.31.255
51.116.224.0/20	51.116.224.0	51.116.239.255	255.255.240.0	4096	4094	0.0.15.255
51.116.240.0/21	51.116.240.0	51.116.247.255	255.255.248.0	2048	2046	0.0.7.255
51.116.248.0/22	51.116.248.0	51.116.251.255	255.255.252.0	1024	1022	0.0.3.255
51.116.252.0/23	51.116.252.0	51.116.253.255	255.255.254.0	512	510	0.0.1.255
51.116.254.0/24	51.116.254.0	51.116.254.255	255.255.255.0	256	254	0.0.0.255
51.116.255.0/25	51.116.255.0	51.116.255.127	255.255.255.128	128	126	0.0.0.127
51.116.255.128/26	51.116.255.128	51.116.255.191	255.255.255.192	64	62	0.0.0.63
51.116.255.192/27	51.116.255.192	51.116.255.223	255.255.255.224	32	30	0.0.0.31
51.116.255.224/28	51.116.255.224	51.116.255.239	255.255.255.240	16	14	0.0.0.15
51.116.255.240/29	51.116.255.240	51.116.255.247	255.255.255.248	8	6	0.0.0.7
51.116.255.248/30	51.116.255.248	51.116.255.251	255.255.255.252	4	2	0.0.0.3
51.116.255.252/31	51.116.255.252	51.116.255.253	255.255.255.254	2	2	0.0.0.1
51.116.255.254/32	51.116.255.254	51.116.255.254	255.255.255.255	1	1	0.0.0.0
51.116.255.255/32	51.116.255.255	51.116.255.255	255.255.255.255	1	1	0.0.0.0
51.124.0.0/17	51.124.0.0	51.124.127.255	255.255.128.0	32768	32766	0.0.127.255
51.124.128.0/18	51.124.128.0	51.124.191.255	255.255.192.0	16384	16382	0.0.63.255
51.124.192.0/19	51.124.192.0	51.124.223.255	255.255.224.0	8192	8190	0.0.31.255
51.124.224.0/20	51.124.224.0	51.124.239.255	255.255.240.0	4096	4094	0.0.15.255
51.124.240.0/21	51.124.240.0	51.124.247.255	255.255.248.0	2048	2046	0.0.7.255
51.124.248.0/22	51.124.248.0	51.124.251.255	255.255.252.0	1024	1022	0.0.3.255
51.124.252.0/23	51.124.252.0	51.124.253.255	255.255.254.0	512	510	0.0.1.255
51.124.254.0/24	51.124.254.0	51.124.254.255	255.255.255.0	256	254	0.0.0.255
51.124.255.0/25	51.124.255.0	51.124.255.127	255.255.255.128	128	126	0.0.0.127
51.124.255.128/26	51.124.255.128	51.124.255.191	255.255.255.192	64	62	0.0.0.63
51.124.255.192/27	51.124.255.192	51.124.255.223	255.255.255.224	32	30	0.0.0.31
51.124.255.224/28	51.124.255.224	51.124.255.239	255.255.255.240	16	14	0.0.0.15
51.124.255.240/29	51.124.255.240	51.124.255.247	255.255.255.248	8	6	0.0.0.7
51.124.255.248/30	51.124.255.248	51.124.255.251	255.255.255.252	4	2	0.0.0.3
51.124.255.252/31	51.124.255.252	51.124.255.253	255.255.255.254	2	2	0.0.0.1
51.124.255.254/32	51.124.255.254	51.124.255.254	255.255.255.255	1	1	0.0.0.0
51.124.255.255/32	51.124.255.255	51.124.255.255	255.255.255.255	1	1	0.0.0.0
104.40.0.0/14	104.40.0.0	104.43.255.255	255.252.0.0	262144	262142	0.3.255.255
104.44.0.0/15	104.44.0.0	104.45.255.255	255.254.0.0	131072	131070	0.1.255.255
104.46.0.0/16	104.46.0.0	104.46.255.255	255.255.0.0	65536	65534	0.0.255.255
104.47.0.0/17	104.47.0.0	104.47.127.255	255.255.128.0	32768	32766	0.0.127.255
104.47.128.0/18	104.47.128.0	104.47.191.255	255.255.192.0	16384	16382	0.0.63.255
104.47.192.0/19	104.47.192.0	104.47.223.255	255.255.224.0	8192	8190	0.0.31.255
104.47.224.0/20	104.47.224.0	104.47.239.255	255.255.240.0	4096	4094	0.0.15.255
104.47.240.0/21	104.47.240.0	104.47.247.255	255.255.248.0	2048	2046	0.0.7.255
104.47.248.0/22	104.47.248.0	104.47.251.255	255.255.252.0	1024	1022	0.0.3.255
104.47.252.0/23	104.47.252.0	104.47.253.255	255.255.254.0	512	510	0.0.1.255
104.47.254.0/24	104.47.254.0	104.47.254.255	255.255.255.0	256	254	0.0.0.255
104.47.255.0/25	104.47.255.0	104.47.255.127	255.255.255.128	128	126	0.0.0.127
104.47.255.128/26	104.47.255.128	104.47.255.191	255.255.255.192	64	62	0.0.0.63
104.47.255.192/27	104.47.255.192	104.47.255.223	255.255.255.224	32	30	0.0.0.31
104.47.255.224/28	104.47.255.224	104.47.255.239	255.255.255.240	16	14	0.0.0.15
104.47.255.240/29	104.47.255.240	104.47.255.247	255.255.255.248	8	6	0.0.0.7
104.47.255.248/30	104.47.255.248	104.47.255.251	255.255.255.252	4	2	0.0.0.3
104.47.255.252/31	104.47.255.252	104.47.255.253	255.255.255.254	2	2	0.0.0.1
104.47.255.254/32	104.47.255.254	104.47.255.254	255.255.255.255	1	1	0.0.0.0
104.47.255.255/32	104.47.255.255	104.47.255.255	255.255.255.255	1	1	0.0.0.0
13.64.0.0/11	13.64.0.0	13.95.255.255	255.224.0.0	2097152	2097150	0.31.255.255
13.96.0.0/13	13.96.0.0	13.103.255.255	255.248.0.0	524288	524286	0.7.255.255
13.104.0.0/15	13.104.0.0	13.105.255.255	255.254.0.0	131072	131070	0.1.255.255
13.106.0.0/16	13.106.0.0	13.106.255.255	255.255.0.0	65536	65534	0.0.255.255
13.107.0.0/17	13.107.0.0	13.107.127.255	255.255.128.0	32768	32766	0.0.127.255
13.107.128.0/18	13.107.128.0	13.107.191.255	255.255.192.0	16384	16382	0.0.63.255
13.107.192.0/19	13.107.192.0	13.107.223.255	255.255.224.0	8192	8190	0.0.31.255
13.107.224.0/20	13.107.224.0	13.107.239.255	255.255.240.0	4096	4094	0.0.15.255
13.107.240.0/21	13.107.240.0	13.107.247.255	255.255.248.0	2048	2046	0.0.7.255
13.107.248.0/22	13.107.248.0	13.107.251.255	255.255.252.0	1024	1022	0.0.3.255
13.107.252.0/23	13.107.252.0	13.107.253.255	255.255.254.0	512	510	0.0.1.255
13.107.254.0/24	13.107.254.0	13.107.254.255	255.255.255.0	256	254	0.0.0.255
13.107.255.0/25	13.107.255.0	13.107.255.127	255.255.255.128	128	126	0.0.0.127
13.107.255.128/26	13.107.255.128	13.107.255.191	255.255.255.192	64	62	0.0.0.63
13.107.255.192/27	13.107.255.192	13.107.255.223	255.255.255.224	32	30	0.0.0.31
13.107.255.224/28	13.107.255.224	13.107.255.239	255.255.255.240	16	14	0.0.0.15
13.107.255.240/29	13.107.255.240	13.107.255.247	255.255.255.248	8	6	0.0.0.7
13.107.255.248/30	13.107.255.248	13.107.255.251	255.255.255.252	4	2	0.0.0.3
13.107.255.252/31	13.107.255.252	13.107.255.253	255.255.255.254	2	2	0.0.0.1
13.107.255.254/32	13.107.255.254	13.107.255.254	255.255.255.255	1	1	0.0.0.0
13.107.255.255/32	13.107.255.255	13.107.255.255	255.255.255.255	1	1	0.0.0.0
104.146.0.0/16	104.146.0.0	104.146.255.255	255.255.0.0	65536	65534	0.0.255.255
104.147.0.0/17	104.147.0.0	104.147.127.255	255.255.128.0	32768	32766	0.0.127.255
104.147.128.0/18	104.147.128.0	104.147.191.255	255.255.192.0	16384	16382	0.0.63.255
104.147.192.0/19	104.147.192.0	104.147.223.255	255.255.224.0	8192	8190	0.0.31.255
104.147.224.0/20	104.147.224.0	104.147.239.255	255.255.240.0	4096	4094	0.0.15.255
104.147.240.0/21	104.147.240.0	104.147.247.255	255.255.248.0	2048	2046	0.0.7.255
104.147.248.0/22	104.147.248.0	104.147.251.255	255.255.252.0	1024	1022	0.0.3.255
104.147.252.0/23	104.147.252.0	104.147.253.255	255.255.254.0	512	510	0.0.1.255
104.147.254.0/24	104.147.254.0	104.147.254.255	255.255.255.0	256	254	0.0.0.255
104.147.255.0/25	104.147.255.0	104.147.255.127	255.255.255.128	128	126	0.0.0.127
104.147.255.128/26	104.147.255.128	104.147.255.191	255.255.255.192	64	62	0.0.0.63
104.147.255.192/27	104.147.255.192	104.147.255.223	255.255.255.224	32	30	0.0.0.31
104.147.255.224/28	104.147.255.224	104.147.255.239	255.255.255.240	16	14	0.0.0.15
104.147.255.240/29	104.147.255.240	104.147.255.247	255.255.255.248	8	6	0.0.0.7
104.147.255.248/30	104.147.255.248	104.147.255.251	255.255.255.252	4	2	0.0.0.3
104.147.255.252/31	104.147.255.252	104.147.255.253	255.255.255.254	2	2	0.0.0.1
104.147.255.254/32	104.147.255.254	104.147.255.254	255.255.255.255	1	1	0.0.0.0
104.147.255.255/32	104.147.255.255	104.147.255.255	255.255.255.255	1	1	0.0.0.0
51.107.0.0/17	51.107.0.0	51.107.127.255	255.255.128.0	32768	32766	0.0.127.255
51.107.128.0/18	51.107.128.0	51.107.191.255	255.255.192.0	16384	16382	0.0.63.255
51.107.192.0/19	51.107.192.0	51.107.223.255	255.255.224.0	8192	8190	0.0.31.255
51.107.224.0/20	51.107.224.0	51.107.239.255	255.255.240.0	4096	4094	0.0.15.255
51.107.240.0/21	51.107.240.0	51.107.247.255	255.255.248.0	2048	2046	0.0.7.255
51.107.248.0/22	51.107.248.0	51.107.251.255	255.255.252.0	1024	1022	0.0.3.255
51.107.252.0/23	51.107.252.0	51.107.253.255	255.255.254.0	512	510	0.0.1.255
51.107.254.0/24	51.107.254.0	51.107.254.255	255.255.255.0	256	254	0.0.0.255
51.107.255.0/25	51.107.255.0	51.107.255.127	255.255.255.128	128	126	0.0.0.127
51.107.255.128/26	51.107.255.128	51.107.255.191	255.255.255.192	64	62	0.0.0.63
51.107.255.192/27	51.107.255.192	51.107.255.223	255.255.255.224	32	30	0.0.0.31
51.107.255.224/28	51.107.255.224	51.107.255.239	255.255.255.240	16	14	0.0.0.15
51.107.255.240/29	51.107.255.240	51.107.255.247	255.255.255.248	8	6	0.0.0.7
51.107.255.248/30	51.107.255.248	51.107.255.251	255.255.255.252	4	2	0.0.0.3
51.107.255.252/31	51.107.255.252	51.107.255.253	255.255.255.254	2	2	0.0.0.1
51.107.255.254/32	51.107.255.254	51.107.255.254	255.255.255.255	1	1	0.0.0.0
51.107.255.255/32	51.107.255.255	51.107.255.255	255.255.255.255	1	1	0.0.0.0
20.150.0.0/15	20.150.0.0	20.151.255.255	255.254.0.0	131072	131070	0.1.255.255
20.152.0.0/16	20.152.0.0	20.152.255.255	255.255.0.0	65536	65534	0.0.255.255
20.153.0.0/17	20.153.0.0	20.153.127.255	255.255.128.0	32768	32766	0.0.127.255
20.153.128.0/18	20.153.128.0	20.153.191.255	255.255.192.0	16384	16382	0.0.63.255
20.153.192.0/19	20.153.192.0	20.153.223.255	255.255.224.0	8192	8190	0.0.31.255
20.153.224.0/20	20.153.224.0	20.153.239.255	255.255.240.0	4096	4094	0.0.15.255
20.153.240.0/21	20.153.240.0	20.153.247.255	255.255.248.0	2048	2046	0.0.7.255
20.153.248.0/22	20.153.248.0	20.153.251.255	255.255.252.0	1024	1022	0.0.3.255
20.153.252.0/23	20.153.252.0	20.153.253.255	255.255.254.0	512	510	0.0.1.255
20.153.254.0/24	20.153.254.0	20.153.254.255	255.255.255.0	256	254	0.0.0.255
20.153.255.0/25	20.153.255.0	20.153.255.127	255.255.255.128	128	126	0.0.0.127
20.153.255.128/26	20.153.255.128	20.153.255.191	255.255.255.192	64	62	0.0.0.63
20.153.255.192/27	20.153.255.192	20.153.255.223	255.255.255.224	32	30	0.0.0.31
20.153.255.224/28	20.153.255.224	20.153.255.239	255.255.255.240	16	14	0.0.0.15
20.153.255.240/29	20.153.255.240	20.153.255.247	255.255.255.248	8	6	0.0.0.7
20.153.255.248/30	20.153.255.248	20.153.255.251	255.255.255.252	4	2	0.0.0.3
20.153.255.252/31	20.153.255.252	20.153.255.253	255.255.255.254	2	2	0.0.0.1
20.153.255.254/32	20.153.255.254	20.153.255.254	255.255.255.255	1	1	0.0.0.0
20.153.255.255/32	20.153.255.255	20.153.255.255	255.255.255.255	1	1	0.0.0.0
4.224.0.0/13	4.224.0.0	4.231.255.255	255.248.0.0	524288	524286	0.7.255.255
4.232.0.0/14	4.232.0.0	4.235.255.255	255.252.0.0	262144	262142	0.3.255.255
4.236.0.0/15	4.236.0.0	4.237.255.255	255.254.0.0	131072	131070	0.1.255.255
4.238.0.0/16	4.238.0.0	4.238.255.255	255.255.0.0	65536	65534	0.0.255.255
4.239.0.0/17	4.239.0.0	4.239.127.255	255.255.128.0	32768	32766	0.0.127.255
4.239.128.0/18	4.239.128.0	4.239.191.255	255.255.192.0	16384	16382	0.0.63.255
4.239.192.0/19	4.239.192.0	4.239.223.255	255.255.224.0	8192	8190	0.0.31.255
4.239.224.0/20	4.239.224.0	4.239.239.255	255.255.240.0	4096	4094	0.0.15.255
4.239.240.0/21	4.239.240.0	4.239.247.255	255.255.248.0	2048	2046	0.0.7.255
4.239.248.0/22	4.239.248.0	4.239.251.255	255.255.252.0	1024	1022	0.0.3.255
4.239.252.0/23	4.239.252.0	4.239.253.255	255.255.254.0	512	510	0.0.1.255
4.239.254.0/24	4.239.254.0	4.239.254.255	255.255.255.0	256	254	0.0.0.255
4.239.255.0/25	4.239.255.0	4.239.255.127	255.255.255.128	128	126	0.0.0.127
